"cell.id","suit","forest","country11","comprom.vulnT.1","comprom.vulnT.2","comprom.vulnT.3","optim4.vulnT","comprom"
211806,0.73068505525589,1,4,3,2,2,0.147225292865187,3
212215,0.723274946212769,1,4,3,2,2,0.151701661758125,3
212214,0.665819883346558,0,4,3,2,2,0.152347538620234,3
211807,0.737865626811981,1,4,3,2,2,0.15314830513671,3
211937,0.732662260532379,0,4,3,2,2,0.158071514219046,3
212653,0.696642577648163,1,4,3,2,2,0.160009110346437,3
211941,0.697489500045776,1,4,3,2,2,0.161170734092593,3
212791,0.696241736412048,1,4,3,2,2,0.163442707620561,3
214121,0.637853860855103,1,4,3,2,2,0.163615051307716,3
198963,0.427200466394424,0,6,5,3,3,0.225427545316052,5
198920,0.40554466843605,1,6,5,3,3,NA,5
143194,0.502498865127564,1,7,6,6,4,0.194536275885184,6
199039,0.39447408914566,0,6,9,9,9,0.224283230025321,9
178386,0.364782214164734,1,5,9,9,9,0.225004502455704,9
177326,0.585875391960144,0,8,9,9,9,0.250790256017353,9
176687,0.541319131851196,0,8,9,9,9,0.255369404338126,9
180274,0.279017716646194,1,5,9,9,9,0.266455849923659,9
197865,0.104472979903221,1,5,9,9,9,0.275586149527953,9
175476,0.193774238228798,0,8,9,9,9,0.276462950278074,9
137832,0.222912967205048,1,3,9,9,9,0.28234900534153,9
188072,0.0419300124049187,1,9,9,9,9,0.282436708308524,9
185756,0.0216346513479948,0,2,9,9,9,0.28396176174283,9
192817,0.000210645215702243,0,2,9,9,9,0.284917417313409,9
184504,0.0117349466308951,0,2,9,9,9,0.285076486354228,9
138924,0.177623763680458,1,3,9,9,9,0.286790578742512,9
191977,0.348652452230454,1,5,9,9,9,0.287644520984031,9
137947,0.211139097809792,1,3,9,9,9,0.288767237149159,9
127946,2.77476756309625e-05,0,3,9,9,9,0.291249769398746,9
156421,0.00111300777643919,1,1,9,9,9,0.294208629697096,9
174009,0.557790517807007,0,8,9,9,9,0.294594342820346,9
138293,0.22319994866848,1,3,9,9,9,0.296342803165317,9
138068,0.303803265094757,1,3,9,9,9,0.297557570909248,9
174719,0.224804669618607,0,8,9,9,9,0.30321411928162,9
174376,0.496871709823608,0,8,9,9,9,0.303854848680203,9
174008,0.482340306043625,0,8,9,9,9,0.306270607048646,9
172192,0.131336405873299,1,1,9,9,9,0.310630424180999,9
158989,0.00118023331742734,0,1,9,9,9,0.31274569730158,9
160743,0.00373065075837076,1,1,9,9,9,0.314730436890386,9
181338,0.0416230335831642,1,1,9,9,9,0.324239690671675,9
171987,0.0842024385929108,1,1,9,9,9,0.326698425051291,9
167286,0.00011952301429119,1,1,9,9,9,0.328911025808338,9
