"SCINAME","AS.y","threat_score.y","pred_threat.y","pred_threat_bin.y","iucn_sc_pred"
"Ichthyophis sumatranus","DD","DD","A","NT",3
"Ichthyophis supachaii","DD","DD","A","NT",3
"Ichthyophis youngorum","DD","DD","A","NT",3
"Indirana longicrus","DD","DD","C","TH",24
"Indirana tenuilingua","DD","DD","C","TH",24
"Indotyphlus battersbyi","DD","DD","A","NT",3
"Ingerana reticulata","DD","DD","B","TH",8
"Kalophrynus bunguranus","DD","DD","B","TH",8
"Kalophrynus menglienicus","DD","DD","A","NT",3
"Kalophrynus orangensis","DD","DD","A","NT",3
"Kalophrynus robinsoni","DD","DD","B","TH",8
"Kaloula aureata","DD","DD","A","NT",3
"Kurixalus banaensis","DD","DD","B","TH",8
"Kurixalus naso","DD","DD","A","NT",3
"Leptobrachella bourreti","DD","DD","C","TH",24
"Leptobrachella nahangensis","DD","DD","A","NT",3
"Leptobrachella natunae","DD","DD","B","TH",8
"Leptobrachella ventripunctata","DD","DD","A","NT",3
"Leptobrachium promustache","DD","DD","C","TH",24
"Leptobrachium xanthospilum","DD","DD","A","NT",3
"Limnonectes khasianus","DD","DD","C","TH",24
"Limnonectes mawlyndipi","DD","DD","C","TH",24
"Limnonectes micrixalus","DD","DD","B","TH",8
"Liophryne allisoni","DD","DD","A","NT",3
"Liophryne rhododactyla","DD","DD","A","NT",3
"Liophryne rubra","DD","DD","A","NT",3
"Liophryne similis","DD","DD","A","NT",3
"Litoria aruensis","DD","DD","A","NT",3
"Litoria brongersmai","DD","DD","A","NT",3
"Litoria bulmeri","DD","DD","A","NT",3
"Litoria capitula","DD","DD","B","TH",8
"Litoria cavernicola","DD","DD","A","NT",3
"Litoria chloronota","DD","DD","A","NT",3
"Litoria contrastens","DD","DD","A","NT",3
"Litoria dorsivena","DD","DD","A","NT",3
"Litoria dux","DD","DD","A","NT",3
"Litoria elkeae","DD","DD","A","NT",3
"Litoria everetti","DD","DD","A","NT",3
"Litoria graminea","DD","DD","A","NT",3
"Litoria hunti","DD","DD","A","NT",3
"Litoria kumae","DD","DD","A","NT",3
"Litoria leucova","DD","DD","B","TH",8
"Litoria longicrus","DD","DD","A","NT",3
"Litoria majikthise","DD","DD","B","TH",8
"Litoria multicolor","DD","DD","A","NT",3
"Litoria mystax","DD","DD","A","NT",3
"Litoria ollauro","DD","DD","A","NT",3
"Litoria pratti","DD","DD","A","NT",3
"Litoria richardsi","DD","DD","A","NT",3
"Litoria sanguinolenta","DD","DD","A","NT",3
"Litoria sauroni","DD","DD","A","NT",3
"Litoria spartacus","DD","DD","A","NT",3
"Litoria umbonata","DD","DD","A","NT",3
"Litoria vagabunda","DD","DD","A","NT",3
"Litoria verae","DD","DD","A","NT",3
"Litoria wapogaensis","DD","DD","A","NT",3
"Litoria zweifeli","DD","DD","A","NT",3
"Liuixalus hainanus","DD","DD","C","TH",24
"Liurana alpina","DD","DD","B","TH",8
"Liurana medogensis","DD","DD","B","TH",8
"Liurana xizangensis","DD","DD","B","TH",8
"Mantophryne louisiadensis","DD","DD","A","NT",3
"Mantophryne menziesi","DD","DD","A","NT",3
"Megophrys caudoprocta","DD","DD","A","NT",3
"Megophrys chuannanensis","DD","DD","A","NT",3
"Megophrys daweimontis","DD","DD","C","TH",24
"Megophrys huangshanensis","DD","DD","B","TH",8
