,binomial,SCINAME_IUCN2019,redlistCategory2019,yearPublished,category,year_
8,Fukomys mechowi,Fukomys mechowii,LC,NA,LC,2008
10,Pipistrellus hesperus,Parastrellus hesperus,LC,NA,LC,2008
16,Chiroderma vizzotoi,Chiroderma vizottoi,DD,NA,DD,2017
18,Piliocolobus waldronae,Piliocolobus waldroni,CR,NA,CR,2016
